time_delta_days,semantic_similarity,confidence_old,confidence_new,trust_score,drift_score,confidence_delta,slot,is_factual_slot,is_preference_slot,has_correction_words,has_temporal_words,policy,id,category_CONFLICT,category_REFINEMENT,category_REVISION,category_TEMPORAL,slot_type_factual,slot_type_other,slot_type_preference,user_signal_strength_implicit,time_category_old,time_category_recent
19,0.16666666666666666,0.8638596663237199,0.7384711653712325,0.8855559257092738,0.12538850095248744,-0.12538850095248744,skill,0,0,0,0,ASK_USER,synthetic_conflict_074,True,False,False,False,False,True,False,True,True,False
21,0.6,0.9286368974351358,0.7605981484055895,0.9585120700932331,0.1680387490295463,-0.1680387490295463,skill,0,0,0,0,PRESERVE,synthetic_refinement_028,False,True,False,False,False,True,False,True,True,False
50,0.6,0.7662200416245131,0.6863196276928942,0.8732056435770286,0.07990041393161884,-0.07990041393161884,location,1,0,0,0,PRESERVE,synthetic_revision_043,False,False,True,False,True,False,False,True,True,False
63,0.8333333333333334,0.8403420335407876,0.6919595629830273,0.9113715508644771,0.14838247055776033,-0.14838247055776033,job_title,1,0,0,0,PRESERVE,synthetic_revision_034,False,False,True,False,True,False,False,True,True,False
163,0.6,0.8461464975558851,0.9142380092608668,0.7137473150966986,0.06809151170498173,0.06809151170498173,employer,1,0,0,0,OVERRIDE,synthetic_revision_020,False,False,True,False,True,False,False,True,True,False
392,0.6,0.7998501262850992,0.6767622657050492,0.768369482695464,0.12308786058005006,-0.12308786058005006,age,1,0,0,0,OVERRIDE,synthetic_temporal_058,False,False,False,True,True,False,False,True,True,False
33,0.16666666666666666,0.9493844016237776,0.7783342027867626,0.7868163890806321,0.171050198837015,-0.171050198837015,skill,0,0,0,0,ASK_USER,synthetic_conflict_041,True,False,False,False,False,True,False,True,True,False
312,0.6,0.7227273530434484,0.6164907313986571,0.7239375930770882,0.10623662164479131,-0.10623662164479131,age,1,0,0,0,OVERRIDE,synthetic_temporal_052,False,False,False,True,True,False,False,True,True,False
168,0.5714285714285714,0.7274122825876648,0.8196061145960815,0.769837265908309,0.09219383200841669,0.09219383200841669,job_title,1,0,0,0,PRESERVE,synthetic_revision_049,False,False,True,False,True,False,False,True,True,False
74,0.6,0.898019841090741,0.7477559883798894,0.7303004288229187,0.15026385271085152,-0.15026385271085152,employer,1,0,0,0,OVERRIDE,synthetic_revision_039,False,False,True,False,True,False,False,True,True,False
3,0.375,0.7158819265379892,0.7335667502772878,0.7833920809330276,0.017684823739298583,0.017684823739298583,skill,0,0,0,0,PRESERVE,synthetic_refinement_042,False,True,False,False,False,True,False,True,False,True
158,0.8333333333333334,0.9490303450600241,0.7851900207846979,0.89070533327932,0.16384032427532624,-0.16384032427532624,job_title,1,0,0,0,OVERRIDE,synthetic_revision_031,False,False,True,False,True,False,False,True,True,False
179,0.6,0.9427695944034045,0.9012728957820743,0.8094496536910253,0.04149669862133021,-0.04149669862133021,location,1,0,0,0,OVERRIDE,synthetic_revision_036,False,False,True,False,True,False,False,True,True,False
43,0.16666666666666666,0.7028702554857049,0.8522526367760681,0.8110542901350648,0.1493823812903632,0.1493823812903632,skill,0,0,0,0,ASK_USER,synthetic_conflict_066,True,False,False,False,False,True,False,True,True,False
6,0.6,0.8704275922566437,0.7879396156430782,0.7628521092314463,0.08248797661356544,-0.08248797661356544,preference,0,1,0,0,PRESERVE,synthetic_refinement_024,False,True,False,False,False,False,True,True,False,True
16,0.6,0.7667062974881357,0.8243366295029328,0.780093346614734,0.05763033201479717,0.05763033201479717,hobby,0,1,0,0,PRESERVE,synthetic_refinement_029,False,True,False,False,False,False,True,True,True,False
300,0.42857142857142855,0.7278880433989691,0.7521678377341867,0.9809963763137481,0.024279794335217653,0.024279794335217653,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_057,False,False,False,True,False,True,False,True,True,False
140,0.6,0.8134309265823015,0.933835574632378,0.894410615573978,0.12040464805007645,0.12040464805007645,location,1,0,0,0,OVERRIDE,synthetic_revision_020,False,False,True,False,True,False,False,True,True,False
337,0.6,0.9189632350945485,0.6921861677628818,0.8827393017000964,0.2267770673316667,-0.2267770673316667,age,1,0,0,0,OVERRIDE,synthetic_temporal_030,False,False,False,True,True,False,False,True,True,False
31,0.6,0.8251465282625745,0.662528158185546,0.751341594459429,0.1626183700770285,-0.1626183700770285,location,1,0,0,0,OVERRIDE,synthetic_revision_044,False,False,True,False,True,False,False,True,True,False
167,0.6666666666666666,0.928156959836205,0.9046814994428684,0.9187380393851048,0.0234754603933367,-0.0234754603933367,job_title,1,0,0,0,OVERRIDE,synthetic_revision_019,False,False,True,False,True,False,False,True,True,False
159,0.6,0.7746111978621582,0.8236323232031018,0.7490207481285784,0.049021125340943605,0.049021125340943605,employer,1,0,0,0,OVERRIDE,synthetic_revision_017,False,False,True,False,True,False,False,True,True,False
60,0.5,0.852242552859543,0.6534937439923721,0.8138366325272943,0.19874880886717083,-0.19874880886717083,location,1,0,0,0,PRESERVE,synthetic_revision_022,False,False,True,False,True,False,False,True,True,False
18,0.6,0.8906277000187878,0.788782660541869,0.9968570051909786,0.10184503947691881,-0.10184503947691881,preference,0,1,0,0,PRESERVE,synthetic_refinement_026,False,True,False,False,False,False,True,True,True,False
345,0.42857142857142855,0.8946566196576395,0.7856237852683121,0.8919999279562278,0.10903283438932743,-0.10903283438932743,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_048,False,False,False,True,False,True,False,True,True,False
112,0.6,0.7001429740319858,0.7134546199516355,0.8670849231323938,0.013311645919649728,0.013311645919649728,employer,1,0,0,0,OVERRIDE,synthetic_revision_001,False,False,True,False,True,False,False,True,True,False
101,0.6,0.7048691855964581,0.925184515692616,0.9053842752969623,0.2203153300961579,0.2203153300961579,employer,1,0,0,0,PRESERVE,synthetic_revision_023,False,False,True,False,True,False,False,True,True,False
378,0.42857142857142855,0.9196804694557961,0.8910829352764127,0.9528555760569428,0.028597534179383377,-0.028597534179383377,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_002,False,False,False,True,False,True,False,True,True,False
337,0.6,0.7768785313506653,0.6202738082729656,0.9327999734638734,0.15660472307769968,-0.15660472307769968,age,1,0,0,0,OVERRIDE,synthetic_temporal_044,False,False,False,True,True,False,False,True,True,False
313,0.6,0.9195023998010101,0.9314323058542979,0.7687144215892313,0.011929906053287809,0.011929906053287809,age,1,0,0,0,OVERRIDE,synthetic_temporal_073,False,False,False,True,True,False,False,True,True,False
26,0.5,0.7214133630169697,0.7700966621608147,0.7096300731712113,0.04868329914384506,0.04868329914384506,preference,0,1,0,0,ASK_USER,synthetic_conflict_061,True,False,False,False,False,False,True,True,True,False
79,0.5,0.7173031296170959,0.866210757840031,0.7946359144177245,0.14890762822293513,0.14890762822293513,location,1,0,0,0,OVERRIDE,synthetic_revision_025,False,False,True,False,True,False,False,True,True,False
20,0.375,0.8914586073267469,0.644937012574917,0.7803222627927108,0.2465215947518299,-0.2465215947518299,skill,0,0,0,0,PRESERVE,synthetic_refinement_015,False,True,False,False,False,True,False,True,True,False
13,0.6,0.8188205945246828,0.7924312577232303,0.763294853075898,0.0263893368014525,-0.0263893368014525,preference,0,1,0,0,PRESERVE,synthetic_refinement_071,False,True,False,False,False,False,True,True,True,False
133,0.8333333333333334,0.7662641572350147,0.90535156437984,0.9828729143005164,0.13908740714482526,0.13908740714482526,job_title,1,0,0,0,PRESERVE,synthetic_revision_044,False,False,True,False,True,False,False,True,True,False
55,0.16666666666666666,0.8057844850502217,0.6741293719047287,0.9629102879418007,0.13165511314549305,-0.13165511314549305,skill,0,0,0,0,ASK_USER,synthetic_conflict_013,True,False,False,False,False,True,False,True,True,False
102,0.6,0.8348240221948645,0.8554758741814916,0.7944033642395434,0.020651851986627112,0.020651851986627112,employer,1,0,0,0,PRESERVE,synthetic_revision_031,False,False,True,False,True,False,False,True,True,False
7,0.16666666666666666,0.750287765847424,0.7091007019553132,0.896631599588464,0.0411870638921108,-0.0411870638921108,skill,0,0,0,0,ASK_USER,synthetic_conflict_064,True,False,False,False,False,True,False,True,False,True
86,0.6,0.9487873391652236,0.8274573201738087,0.8186895703181992,0.12133001899141493,-0.12133001899141493,employer,1,0,0,0,OVERRIDE,synthetic_revision_042,False,False,True,False,True,False,False,True,True,False
33,0.16666666666666666,0.809525020978626,0.7811515443624567,0.974364276922163,0.02837347661616929,-0.02837347661616929,skill,0,0,0,0,ASK_USER,synthetic_conflict_068,True,False,False,False,False,True,False,True,True,False
60,0.6,0.7302510489670664,0.678644067961045,0.8376555557762196,0.051606981006021346,-0.051606981006021346,employer,1,0,0,0,OVERRIDE,synthetic_revision_002,False,False,True,False,True,False,False,True,True,False
331,0.42857142857142855,0.7845213905368638,0.8059080514600316,0.7794640499494156,0.021386660923167877,0.021386660923167877,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_032,False,False,False,True,False,True,False,True,True,False
376,0.6,0.7575286831491442,0.6770760845580458,0.773988252308195,0.08045259859109843,-0.08045259859109843,age,1,0,0,0,OVERRIDE,synthetic_temporal_019,False,False,False,True,True,False,False,True,True,False
20,0.6,0.7177482715022581,0.8208860350445346,0.8684104402489452,0.10313776354227655,0.10313776354227655,preference,0,1,0,0,PRESERVE,synthetic_refinement_040,False,True,False,False,False,False,True,True,True,False
18,0.16666666666666666,0.7572354459527886,0.9168970045521447,0.7788224825568806,0.15966155859935616,0.15966155859935616,skill,0,0,0,0,ASK_USER,synthetic_conflict_036,True,False,False,False,False,True,False,True,True,False
109,0.5,0.9149088500634366,0.6248000724610286,0.8753757970670621,0.29010877760240794,-0.29010877760240794,location,1,0,0,0,PRESERVE,synthetic_revision_005,False,False,True,False,True,False,False,True,True,False
1,0.6,0.7595011585922488,0.8341422224036982,0.9693468650807431,0.07464106381144942,0.07464106381144942,preference,0,1,0,0,PRESERVE,synthetic_refinement_022,False,True,False,False,False,False,True,True,False,True
19,0.375,0.7535592018426096,0.6463091470537587,0.8198201515421192,0.10725005478885086,-0.10725005478885086,tool,0,0,0,0,PRESERVE,synthetic_refinement_066,False,True,False,False,False,True,False,True,True,False
8,0.375,0.9338785601451677,0.7998650826638496,0.7657962277471849,0.1340134774813181,-0.1340134774813181,tool,0,0,0,0,PRESERVE,synthetic_refinement_070,False,True,False,False,False,True,False,True,True,False
41,0.5,0.8181677565779485,0.8746167985017637,0.9992612819485331,0.05644904192381517,0.05644904192381517,preference,0,1,0,0,ASK_USER,synthetic_conflict_030,True,False,False,False,False,False,True,True,True,False
47,0.16666666666666666,0.9018742494416608,0.6666434700266571,0.8528578881029394,0.2352307794150037,-0.2352307794150037,skill,0,0,0,0,ASK_USER,synthetic_conflict_045,True,False,False,False,False,True,False,True,True,False
43,0.5,0.7242327035572058,0.7508679138422321,0.7272728236521381,0.026635210285026245,0.026635210285026245,preference,0,1,0,0,ASK_USER,synthetic_conflict_020,True,False,False,False,False,False,True,True,True,False
140,0.6666666666666666,0.8058946557549802,0.7634586338128362,0.7141349126274203,0.04243602194214402,-0.04243602194214402,job_title,1,0,0,0,OVERRIDE,synthetic_revision_005,False,False,True,False,True,False,False,True,True,False
53,0.6,0.8822689623649627,0.8356775915526555,0.7328947391051978,0.04659137081230713,-0.04659137081230713,location,1,0,0,0,PRESERVE,synthetic_revision_031,False,False,True,False,True,False,False,True,True,False
312,0.6,0.9460413028414915,0.6344462549031856,0.888233812510927,0.31159504793830584,-0.31159504793830584,age,1,0,0,0,OVERRIDE,synthetic_temporal_063,False,False,False,True,True,False,False,True,True,False
388,0.42857142857142855,0.8006553205255671,0.7187559118882371,0.9376238093088892,0.08189940863733003,-0.08189940863733003,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_058,False,False,False,True,False,True,False,True,True,False
360,0.42857142857142855,0.9154181340881977,0.6870297168720999,0.8266479900399052,0.22838841721609782,-0.22838841721609782,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_027,False,False,False,True,False,True,False,True,True,False
85,0.8333333333333334,0.7475522271102029,0.7570147417415961,0.7190583118455871,0.009462514631393248,0.009462514631393248,job_title,1,0,0,0,OVERRIDE,synthetic_revision_036,False,False,True,False,True,False,False,True,True,False
22,0.6,0.805470409958601,0.6974908006334292,0.814485785951961,0.10797960932517181,-0.10797960932517181,skill,0,0,0,0,PRESERVE,synthetic_refinement_030,False,True,False,False,False,True,False,True,True,False
180,0.6,0.7624516119705251,0.9231429597466044,0.998836414072029,0.1606913477760793,0.1606913477760793,employer,1,0,0,0,OVERRIDE,synthetic_revision_026,False,False,True,False,True,False,False,True,True,False
393,0.6,0.8107826862633642,0.9014721866666406,0.8587343035297411,0.09068950040327639,0.09068950040327639,age,1,0,0,0,OVERRIDE,synthetic_temporal_068,False,False,False,True,True,False,False,True,True,False
26,0.16666666666666666,0.837581328112462,0.6177059153337084,0.9913235132840854,0.21987541277875355,-0.21987541277875355,skill,0,0,0,0,ASK_USER,synthetic_conflict_011,True,False,False,False,False,True,False,True,True,False
23,0.375,0.9498206171031816,0.8926096547779832,0.9582339106703495,0.0572109623251984,-0.0572109623251984,skill,0,0,0,0,PRESERVE,synthetic_refinement_071,False,True,False,False,False,True,False,True,True,False
70,0.8333333333333334,0.9422490643211878,0.9242284440528445,0.7034443065828458,0.01802062026834328,-0.01802062026834328,job_title,1,0,0,0,OVERRIDE,synthetic_revision_012,False,False,True,False,True,False,False,True,True,False
129,0.5714285714285714,0.9121739336035763,0.6582088887113698,0.9162165458080584,0.2539650448922065,-0.2539650448922065,job_title,1,0,0,0,PRESERVE,synthetic_revision_002,False,False,True,False,True,False,False,True,True,False
51,0.5,0.8214102813626796,0.6748115547197135,0.9045131107079725,0.14659872664296603,-0.14659872664296603,preference,0,1,0,0,ASK_USER,synthetic_conflict_004,True,False,False,False,False,False,True,True,True,False
51,0.5,0.8002600731373631,0.6205223899902625,0.8610910991226386,0.1797376831471006,-0.1797376831471006,preference,0,1,0,0,ASK_USER,synthetic_conflict_059,True,False,False,False,False,False,True,True,True,False
94,0.6666666666666666,0.794743279744229,0.944858095322904,0.7800475569857628,0.150114815578675,0.150114815578675,job_title,1,0,0,0,OVERRIDE,synthetic_revision_030,False,False,True,False,True,False,False,True,True,False
400,0.6,0.766300764543038,0.8744247106819992,0.8922885395739424,0.10812394613896126,0.10812394613896126,age,1,0,0,0,OVERRIDE,synthetic_temporal_062,False,False,False,True,True,False,False,True,True,False
374,0.42857142857142855,0.8137520918347858,0.7480526200965569,0.7334656520787629,0.06569947173822888,-0.06569947173822888,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_041,False,False,False,True,False,True,False,True,True,False
41,0.5,0.9393294102149182,0.9483979413224498,0.8304295752007315,0.009068531107531586,0.009068531107531586,preference,0,1,0,0,ASK_USER,synthetic_conflict_021,True,False,False,False,False,False,True,True,True,False
59,0.16666666666666666,0.8389420808514045,0.8514428963537141,0.8361171118987619,0.012500815502309526,0.012500815502309526,skill,0,0,0,0,ASK_USER,synthetic_conflict_030,True,False,False,False,False,True,False,True,True,False
356,0.6,0.738699206318516,0.7038477389230975,0.986144778256324,0.034851467395418556,-0.034851467395418556,age,1,0,0,0,OVERRIDE,synthetic_temporal_053,False,False,False,True,True,False,False,True,True,False
86,0.6,0.9421773412422897,0.8027131017856897,0.9627558821134582,0.13946423945660003,-0.13946423945660003,employer,1,0,0,0,OVERRIDE,synthetic_revision_028,False,False,True,False,True,False,False,True,True,False
9,0.16666666666666666,0.8355488003435685,0.8617914461326723,0.7790167152253272,0.026242645789103847,0.026242645789103847,skill,0,0,0,0,ASK_USER,synthetic_conflict_065,True,False,False,False,False,True,False,True,True,False
46,0.5,0.7142913182268708,0.8044621580606399,0.8501758339150894,0.09017083983376917,0.09017083983376917,preference,0,1,0,0,ASK_USER,synthetic_conflict_065,True,False,False,False,False,False,True,True,True,False
315,0.42857142857142855,0.8257125957298783,0.8984519622168998,0.7535955641590394,0.0727393664870215,0.0727393664870215,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_055,False,False,False,True,False,True,False,True,True,False
309,0.42857142857142855,0.7393581819848708,0.9362726161460576,0.9737883518034461,0.1969144341611868,0.1969144341611868,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_052,False,False,False,True,False,True,False,True,True,False
323,0.6,0.7200278663101467,0.6650387363432531,0.96115557095103,0.054989129966893646,-0.054989129966893646,age,1,0,0,0,OVERRIDE,synthetic_temporal_031,False,False,False,True,True,False,False,True,True,False
18,0.6,0.8487587766125069,0.8363243937614315,0.7895334374345898,0.012434382851075343,-0.012434382851075343,preference,0,1,0,0,PRESERVE,synthetic_refinement_017,False,True,False,False,False,False,True,True,True,False
353,0.6,0.7588009737502328,0.6419603148814934,0.8916848484598016,0.1168406588687394,-0.1168406588687394,age,1,0,0,0,ASK_USER,synthetic_temporal_020,False,False,False,True,True,False,False,True,True,False
18,0.6,0.9225718285323593,0.6861753717260186,0.8826910634314517,0.2363964568063407,-0.2363964568063407,skill,0,0,0,0,ASK_USER,synthetic_refinement_054,False,True,False,False,False,True,False,True,True,False
24,0.6,0.8486297883833602,0.816783528616236,0.7458517805648904,0.031846259767124185,-0.031846259767124185,preference,0,1,0,0,PRESERVE,synthetic_refinement_066,False,True,False,False,False,False,True,True,True,False
19,0.6,0.8048062288339681,0.8042853012519287,0.9287532400225453,0.0005209275820394765,-0.0005209275820394765,hobby,0,1,0,0,PRESERVE,synthetic_refinement_013,False,True,False,False,False,False,True,True,True,False
58,0.16666666666666666,0.8306956788829897,0.9271471902077495,0.8618137090358877,0.09645151132475982,0.09645151132475982,skill,0,0,0,0,ASK_USER,synthetic_conflict_032,True,False,False,False,False,True,False,True,True,False
38,0.6,0.751064799855884,0.8506671302762951,0.9335879435891674,0.09960233042041111,0.09960233042041111,location,1,0,0,0,OVERRIDE,synthetic_revision_039,False,False,True,False,True,False,False,True,True,False
138,0.6,0.7596714881539615,0.738525046376939,0.8591061016585533,0.021146441777022407,-0.021146441777022407,employer,1,0,0,0,OVERRIDE,synthetic_revision_025,False,False,True,False,True,False,False,True,True,False
10,0.16666666666666666,0.8679225557399928,0.7049989779295668,0.700171568838383,0.162923577810426,-0.162923577810426,skill,0,0,0,0,ASK_USER,synthetic_conflict_015,True,False,False,False,False,True,False,True,True,False
60,0.6,0.7790442990679635,0.8631525723450407,0.7972468171014019,0.08410827327707726,0.08410827327707726,employer,1,0,0,0,PRESERVE,synthetic_revision_049,False,False,True,False,True,False,False,True,True,False
315,0.6,0.7181357786232893,0.7603999329165051,0.7058430227157496,0.04226415429321584,0.04226415429321584,age,1,0,0,0,OVERRIDE,synthetic_temporal_013,False,False,False,True,True,False,False,True,True,False
95,0.5,0.9496136102136106,0.9486337567492831,0.9787295848793851,0.0009798534643274959,-0.0009798534643274959,location,1,0,0,0,PRESERVE,synthetic_revision_026,False,False,True,False,True,False,False,True,True,False
141,0.8333333333333334,0.7183151802749081,0.6746040092934641,0.9636165633469553,0.04371117098144406,-0.04371117098144406,job_title,1,0,0,0,PRESERVE,synthetic_revision_018,False,False,True,False,True,False,False,True,True,False
14,0.16666666666666666,0.7663001036876003,0.9266407822977981,0.9494996588083539,0.16034067861019785,0.16034067861019785,skill,0,0,0,0,ASK_USER,synthetic_conflict_029,True,False,False,False,False,True,False,True,True,False
16,0.6,0.9202160434216098,0.90774458486959,0.7922542376207984,0.01247145855201981,-0.01247145855201981,skill,0,0,0,0,PRESERVE,synthetic_refinement_044,False,True,False,False,False,True,False,True,True,False
175,0.6,0.792381772184721,0.6552113913250311,0.7173775499482562,0.1371703808596898,-0.1371703808596898,employer,1,0,0,0,OVERRIDE,synthetic_revision_050,False,False,True,False,True,False,False,True,True,False
321,0.42857142857142855,0.9084362386599517,0.8462389737805798,0.9634028797612122,0.06219726487937194,-0.06219726487937194,current_project,0,0,0,0,OVERRIDE,synthetic_temporal_043,False,False,False,True,False,True,False,True,True,False
